sep=;
Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
125;3256434;22353;3;0;20;3;170;0;170;0;90888;31586
126;3323260;22701;3;0;20;3;170;0;170;0;90888;24062
127;3389833;23049;3;0;20;3;170;0;170;0;90888;24315
128;3448254;23397;3;0;20;3;170;0;170;0;90888;32467
129;3507543;23745;3;0;20;3;170;0;170;0;90888;31599
130;3564813;24093;3;0;20;3;170;0;170;0;90888;33618
131;3631070;24441;3;0;20;3;170;0;170;0;90888;24631
132;3687839;24789;3;0;20;3;170;0;170;0;90888;34119
133;3753200;25137;3;0;20;3;170;0;170;0;90888;25527
134;3823507;485;4;0;20;3;170;0;170;0;90888;20581
135;1997489;833;4;0;20;4;150;0;150;0;187625;2013643
136;2172114;1181;4;0;20;4;150;0;150;0;187625;13000
137;2346739;1529;4;0;20;4;150;0;150;0;187625;13000
138;2516639;1877;4;0;20;4;150;0;150;0;187625;17725
139;2691264;2225;4;0;20;4;150;0;150;0;187625;13000
140;2856110;2573;4;0;20;4;150;0;150;0;187625;22779
141;3024091;2921;4;0;20;4;150;0;150;0;187625;19644
142;3196521;3269;4;0;20;4;150;0;150;0;187625;15195
143;3355495;3617;4;0;20;4;150;0;150;0;177500;18526
144;3526208;3965;4;0;20;4;150;0;150;0;187625;16912
145;3699427;4313;4;0;20;4;150;0;150;0;187625;14406
146;3864853;4661;4;0;20;4;150;0;150;0;187625;22199
147;4023038;5009;4;0;20;4;150;0;150;0;187625;29440
148;4193925;5357;4;0;20;4;150;0;150;0;187625;16738
149;4356300;5705;4;0;20;4;150;0;150;0;187625;25250
150;4528127;6053;4;0;20;4;150;0;150;0;187625;15798
151;4696400;6401;4;0;20;4;150;0;150;0;187625;19352
152;4860598;6749;4;0;20;4;150;0;150;0;187625;23427
153;5025082;7108;4;0;21;4;150;0;150;0;187625;23141
154;5174372;7478;4;0;22;4;150;0;150;0;187625;38335
155;5339568;7858;4;0;23;4;150;0;150;0;187625;22429
156;5502107;8248;4;0;24;4;150;0;150;0;187625;25086
157;5673128;8647;4;0;25;4;150;0;150;0;187625;16604
158;5834547;9055;4;0;26;4;150;0;150;0;187625;26206
159;5997885;9472;4;0;27;4;150;0;150;0;187625;24287
160;6168099;9897;4;0;28;4;150;0;150;0;187625;17411
161;6322437;10330;4;0;29;4;150;0;150;0;187625;33287
162;6490462;10771;4;0;30;4;150;0;150;0;187625;19600
163;6653968;11219;4;0;31;4;150;0;150;0;187625;24119
164;6808777;11674;4;0;32;4;150;0;150;0;187625;32816
165;6964794;12136;4;0;33;4;150;0;150;0;187625;31608
166;7119788;12605;4;0;34;4;150;0;150;0;187625;32631
167;7268300;13080;4;0;35;4;150;0;150;0;187625;39113
168;7418401;13561;4;0;36;4;150;0;150;0;187625;37524
169;7581346;14047;4;0;37;4;150;0;150;0;187625;24680
170;7735575;14539;4;0;38;4;150;0;150;0;187625;33396
171;7886790;15036;4;0;39;4;150;0;150;0;187625;36410
172;8031269;15538;4;0;40;4;150;0;150;0;187625;43146
173;8182490;16045;4;0;41;4;150;0;150;0;187625;36404
174;8333926;16557;4;0;42;4;150;0;150;0;187625;36189
175;6348389;17073;4;0;43;4;150;0;150;0;187625;2173162
176;5031536;17594;4;0;44;4;150;0;150;0;187625;1504478
177;5196793;18119;4;0;45;4;150;0;150;0;187625;22368
178;5365518;18648;4;0;46;4;150;0;150;0;187625;18900
179;5524902;19181;4;0;47;4;150;0;150;0;187625;28241
180;5691400;19717;4;0;48;4;150;0;150;0;187625;21127
181;5859675;20257;4;0;49;4;150;0;150;0;187625;19350
182;6015150;20800;4;0;50;4;150;0;150;0;187625;32150
183;6177170;21343;4;0;50;4;150;0;150;0;187625;25605
184;6347295;21886;4;0;50;4;150;0;150;0;187625;17500
185;6517420;22429;4;0;50;4;150;0;150;0;187625;17500
186;6685997;22972;4;0;50;4;150;0;150;0;187625;19048
187;6856122;23515;4;0;50;4;150;0;150;0;187625;17500
188;7026247;24058;4;0;50;4;150;0;150;0;187625;17500
189;7188372;24601;4;0;50;4;150;0;150;0;187625;25500
190;7353477;25144;4;0;50;4;150;0;150;0;187625;22520
191;7508740;687;5;0;50;4;150;0;150;0;187625;32362
192;7650877;1230;5;0;50;4;140;0;140;0;179160;37023
193;7791231;1773;5;0;50;4;140;0;140;0;171599;31245
194;7942288;2316;5;0;50;4;140;0;140;0;179160;28103
195;8098198;2859;5;0;50;4;140;0;140;0;179664;23754
196;8244637;3402;5;0;50;4;140;0;140;0;180168;33729
197;8397982;3945;5;0;50;4;140;0;140;0;180672;27327
198;8542544;4488;5;0;50;4;140;0;140;0;181176;36614
199;8691664;5031;5;0;50;4;140;0;140;0;181680;32560
200;8919375;5574;5;0;50;4;140;0;140;0;259094;31383
201;9150400;6117;5;0;50;4;140;0;140;0;259900;28875
202;9390550;6660;5;0;50;4;140;0;140;0;260707;20557
203;9626563;7203;5;0;50;4;140;0;140;0;261513;25500
204;9869695;7746;5;0;50;4;140;0;140;0;262320;19188
205;10111717;8289;5;0;50;4;140;0;140;0;263126;21104
206;10358149;8832;5;0;50;4;140;0;140;0;263932;17500
207;10605388;9375;5;0;50;4;140;0;140;0;264739;17500
208;10846085;9918;5;0;50;4;140;0;140;0;265545;24848
209;11084475;10461;5;0;50;4;140;0;140;0;266352;27962
210;11305946;11004;5;0;50;4;140;0;140;0;267158;45687
211;11531303;11547;5;0;50;4;140;0;140;0;267964;42607
212;11750523;12090;5;0;50;4;140;0;140;0;268771;49551
213;11955536;12633;5;0;50;4;140;0;140;0;245385;40372
214;12159987;13176;5;0;50;4;140;0;140;0;254256;49805
215;12356541;13719;5;0;50;4;140;0;140;0;255062;58508
216;12563790;14262;5;0;50;4;140;0;140;0;255868;48619
217;12771432;14805;5;0;50;4;140;0;140;0;256675;49033
218;12991489;15348;5;0;50;4;140;0;140;0;257481;37424
219;13208771;15891;5;0;50;4;140;0;140;0;258288;41006
220;13429596;16434;5;0;50;4;140;0;140;0;259094;38269
221;13647354;16977;5;0;50;4;140;0;140;0;259900;42142
222;13857286;17520;5;0;50;4;140;0;140;0;260707;50775
223;14058437;18063;5;0;50;4;140;0;140;0;261513;60362
224;14246859;18606;5;0;50;4;140;0;140;0;262320;73898
225;14434889;19149;5;0;50;4;140;0;140;0;263126;75096
226;14624189;19692;5;0;50;4;140;0;140;0;263932;74632
227;14810354;20235;5;0;50;4;140;0;140;0;264739;78574
228;14989850;20778;5;0;50;4;140;0;140;0;265545;86049
229;15165125;21321;5;0;50;4;140;0;140;0;266352;91077
230;15344017;21864;5;0;50;4;140;0;140;0;267158;88266
231;15506694;22407;5;0;50;4;140;0;140;0;267964;105287
232;15686245;22950;5;0;50;4;140;0;140;0;268771;89220
233;15728381;23493;5;0;50;4;140;0;140;0;245385;203249
234;15785232;24036;5;0;50;4;140;0;140;0;254256;197405
235;15834579;24579;5;0;50;4;140;0;140;0;255062;205715
236;15893626;25122;5;0;50;4;140;0;140;0;255868;196821
237;15943992;25665;5;0;50;4;140;0;140;0;256675;206309
238;15985973;26208;5;0;50;4;140;0;140;0;257481;215500
239;16036761;26751;5;0;50;4;140;0;140;0;258288;207500
240;16091917;27294;5;0;50;4;140;0;140;0;259094;203938
241;16157874;27837;5;0;50;4;140;0;140;0;259900;193943
242;16226187;28380;5;0;50;4;140;0;140;0;260707;192394
243;16292228;28923;5;0;50;4;140;0;140;0;261513;195472
244;16359329;29466;5;0;50;4;140;0;140;0;262320;195219
245;16423703;30009;5;0;50;4;140;0;140;0;263126;198752
246;16504307;30552;5;0;50;4;140;0;140;0;263932;183328
247;16590649;31095;5;0;50;4;140;0;140;0;264739;178397
248;16670427;31638;5;0;50;4;140;0;140;0;265545;185767
249;16751508;32181;5;0;50;4;140;0;140;0;266352;185271
250;15383732;32724;5;0;50;4;140;0;140;0;267158;1634934
251;15469805;33267;5;0;50;4;140;0;140;0;267964;181891
252;15551808;33810;5;0;50;4;140;0;140;0;268771;186768
253;15646330;34353;5;0;50;4;140;0;140;0;269577;175055
254;15735522;34896;5;0;50;4;140;0;140;0;270384;181192
255;15820497;35439;5;0;50;4;140;0;140;0;271190;186215
256;15907641;35982;5;0;50;4;140;0;140;0;271996;184852
257;15008023;36525;5;0;50;4;140;0;140;0;272803;1172421
258;15099489;37068;5;0;50;4;140;0;140;0;273609;182143
259;15192113;37611;5;0;50;4;140;0;140;0;274416;181792
260;15299062;38154;5;0;50;4;140;0;140;0;275222;168273
261;15401345;38697;5;0;50;4;140;0;140;0;276028;173745
262;15504543;39240;5;0;50;4;140;0;140;0;276835;173637
263;15607449;39783;5;0;50;4;140;0;140;0;277641;174735
264;15694624;40326;5;0;50;4;140;0;140;0;254256;167081
265;15777956;40869;5;0;50;4;140;0;140;0;255062;171730
266;15847150;41412;5;0;50;4;140;0;140;0;255868;186674
267;14844355;41955;5;0;50;4;140;0;140;0;256675;1259470
268;14921217;42498;5;0;50;4;140;0;140;0;257481;180619
269;15003749;43041;5;0;50;4;140;0;140;0;258288;175756
270;14365358;43584;5;0;50;4;140;0;140;0;259094;897485
271;14464963;44127;5;0;50;4;140;0;140;0;259900;160295
272;14566191;44670;5;0;50;4;140;0;140;0;260707;159479
273;14656204;45213;5;0;50;4;140;0;140;0;261513;171500
274;14762597;45756;5;0;50;4;140;0;140;0;262320;155927
275;14868930;46299;5;0;50;4;140;0;140;0;263126;156793
276;14983573;46842;5;0;50;4;140;0;140;0;263932;149289
277;15104810;47385;5;0;50;4;140;0;140;0;264739;143502
278;15217092;47928;5;0;50;4;140;0;140;0;265545;153263
279;15340063;48471;5;0;50;4;140;0;140;0;266352;143381
280;15458241;49014;5;0;50;4;140;0;140;0;267158;148980
281;15581363;49557;5;0;50;4;140;0;140;0;267964;144842
282;15706155;50100;5;0;50;4;140;0;140;0;268771;143979
283;15836085;50643;5;0;50;4;140;0;140;0;269577;139647
284;15981228;51186;5;0;50;4;140;0;140;0;270384;130241
285;16116485;51729;5;0;50;4;140;0;140;0;271190;135933
286;16257517;52272;5;0;50;4;140;0;140;0;271996;130964
287;16389780;52815;5;0;50;4;140;0;140;0;272803;140540
288;16528870;53358;5;0;50;4;140;0;140;0;273609;134519
289;14885744;53901;5;0;50;4;140;0;140;0;274416;1917542
290;15042272;54444;5;0;50;4;140;0;140;0;275222;118694
291;15208795;54987;5;0;50;4;140;0;140;0;276028;109505
292;15366189;55530;5;0;50;4;140;0;140;0;276835;119441
293;15515354;56073;5;0;50;4;140;0;140;0;277641;128476
294;15666527;56616;5;0;50;4;140;0;140;0;278448;127275
295;15823894;57159;5;0;50;4;140;0;140;0;279254;121887
296;15989657;57702;5;0;50;4;140;0;140;0;280060;114297
297;16161457;58245;5;0;50;4;140;0;140;0;280867;109067
298;16329553;58788;5;0;50;4;140;0;140;0;281673;113577
299;16506706;59331;5;0;50;4;140;0;140;0;282480;105327
300;16692370;59874;5;0;50;4;140;0;140;0;283286;97622
301;16862999;60417;5;0;50;4;140;0;140;0;284092;113463
302;17033831;60960;5;0;50;4;140;0;140;0;284899;114067
303;17201324;61503;5;0;50;4;140;0;140;0;285705;118212
304;17377021;62046;5;0;50;4;140;0;140;0;286512;110815
305;17560910;62589;5;0;50;4;140;0;140;0;287318;103429
306;17742351;63132;5;0;50;4;140;0;140;0;288124;106683
307;17933474;63675;5;0;50;4;140;0;140;0;288931;97808
308;18126385;64218;5;0;50;4;140;0;140;0;289737;96826
309;18329074;64761;5;0;50;4;140;0;140;0;290544;87855
310;18526319;65304;5;0;50;4;140;0;140;0;291350;94105
311;18734167;65847;5;0;50;4;140;0;140;0;292156;84308
312;18937841;66390;5;0;50;4;140;0;140;0;292963;89289
313;19141588;66933;5;0;50;4;140;0;140;0;293769;90022
314;19329324;67476;5;0;50;4;140;0;140;0;270384;82648
315;19513967;68019;5;0;50;4;140;0;140;0;271190;86547
316;19700181;68562;5;0;50;4;140;0;140;0;271996;85782
317;19891964;69105;5;0;50;4;140;0;140;0;272803;81020
318;10094357;69648;5;0;50;5;140;0;140;0;273609;10071216
319;10289751;70191;5;0;50;6;140;0;140;0;274416;79022
320;10478542;70734;5;0;50;6;140;0;140;0;275222;86431
321;10663489;71277;5;0;50;6;140;0;140;0;276028;91081
322;10751492;71820;5;0;50;6;140;0;140;0;276835;188832
323;10932408;72363;5;0;50;6;140;0;140;0;277641;96725
324;11108571;72906;5;0;50;6;140;0;140;0;278448;102285
325;11279367;73449;5;0;50;6;140;0;140;0;279254;108458
326;11447660;73992;5;0;50;6;140;0;140;0;280060;111767
327;11612659;74535;5;0;50;6;140;0;140;0;280867;115868
328;11776559;75078;5;0;50;6;140;0;140;0;281673;117773
329;11833250;75621;5;0;50;6;140;0;140;0;282480;225789
330;11991372;76164;5;0;50;6;140;0;140;0;283286;125164
331;12158469;76707;5;0;50;6;140;0;140;0;284092;116995
332;12321832;77250;5;0;50;6;140;0;140;0;284899;121536
333;12478799;77793;5;0;50;6;140;0;140;0;285705;128738
334;12618734;78336;5;0;50;6;140;0;140;0;262320;122385
335;12760677;78879;5;0;50;6;140;0;140;0;263126;121183
336;12802809;79422;5;0;50;6;140;0;140;0;263932;221800
337;12946972;79965;5;0;50;6;140;0;140;0;264739;120576
338;13098497;80508;5;0;50;6;140;0;140;0;265545;114020
339;13248836;81051;5;0;50;6;140;0;140;0;266352;116013
340;13399487;81594;5;0;50;6;140;0;140;0;267158;116507
341;13559526;82137;5;0;50;6;140;0;140;0;267964;107925
342;13721807;82680;5;0;50;6;140;0;140;0;268771;106490
343;13792148;83223;5;0;50;6;140;0;140;0;269577;199236
344;13963981;83766;5;0;50;6;140;0;140;0;270384;98551
345;14141079;84309;5;0;50;6;140;0;140;0;271190;94092
346;14310731;84852;5;0;50;6;140;0;140;0;271996;102344
347;14471334;85395;5;0;50;6;140;0;140;0;272803;112200
348;14634214;85938;5;0;50;6;140;0;140;0;273609;110729
349;14792333;86481;5;0;50;6;140;0;140;0;274416;116297
350;14859805;87024;5;0;50;6;140;0;140;0;275222;207750
351;15029467;87567;5;0;50;6;140;0;140;0;276028;106366
352;15190088;88110;5;0;50;6;140;0;140;0;276835;116214
353;15351095;88653;5;0;50;6;140;0;140;0;277641;116634
354;15481633;89196;5;0;50;6;140;0;140;0;254256;123718
355;15617355;89739;5;0;50;6;140;0;140;0;255062;119340
356;15745308;90282;5;0;50;6;140;0;140;0;255868;127915
