Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
329;33677436;94471;5;0;100;6;140;0;140;0;339600;315000
330;33803044;95085;5;0;100;6;140;0;140;0;340608;215000
331;33930645;95699;5;0;100;6;140;0;140;0;341616;214015
332;34065283;96313;5;0;100;6;140;0;140;0;342624;207986
333;34193915;96927;5;0;100;6;140;0;140;0;343632;215000
334;34295430;97541;5;0;100;6;140;0;140;0;314400;212885
335;34396077;98155;5;0;100;6;140;0;140;0;315408;214761
336;34397493;98769;5;0;100;6;140;0;140;0;316416;315000
337;34499917;99383;5;0;100;6;140;0;140;0;317424;215000
338;34604344;99997;5;0;100;6;140;0;140;0;318432;214005
339;34716711;100611;5;0;100;6;140;0;140;0;319440;207073
340;34822159;1225;6;0;100;6;140;0;140;0;320448;215000
341;35389907;1839;6;0;100;6;120;0;120;0;772760;205012
342;35955486;2453;6;0;100;6;120;0;120;0;780050;214471
343;36427826;3067;6;0;100;6;120;0;120;0;787340;315000
344;37007456;3681;6;0;100;6;120;0;120;0;794630;215000
345;37594376;4295;6;0;100;6;120;0;120;0;801920;215000
346;38189380;4909;6;0;100;6;120;0;120;0;809210;214206
347;38800277;5523;6;0;100;6;120;0;120;0;816500;205603
348;39427680;6137;6;0;100;6;120;0;120;0;823790;196387
349;40062183;6751;6;0;100;6;120;0;120;0;831080;196577
350;40610150;7365;6;0;100;6;120;0;120;0;838370;290403
351;41271798;7979;6;0;100;6;120;0;120;0;845660;184012
352;41945589;8593;6;0;100;6;120;0;120;0;852950;179159
353;42621279;9207;6;0;100;6;120;0;120;0;860240;184550
354;43233006;9821;6;0;100;6;120;0;120;0;794630;182903
355;43846843;10435;6;0;100;6;120;0;120;0;801920;188083
356;44465484;11049;6;0;100;6;120;0;120;0;809210;190569
357;44986265;11663;6;0;100;6;120;0;120;0;816500;295719
358;45615658;12277;6;0;100;6;120;0;120;0;823790;194397
359;46246482;12891;6;0;100;6;120;0;120;0;831080;200256
360;46875494;13505;6;0;100;6;120;0;120;0;838370;209358
361;47517121;14119;6;0;100;6;120;0;120;0;845660;204033
362;48156707;14733;6;0;100;6;120;0;120;0;852950;213364
363;48801947;15347;6;0;100;6;120;0;120;0;860240;215000
364;49354477;15961;6;0;100;6;120;0;120;0;867530;315000
365;50014581;16575;6;0;100;6;120;0;120;0;874820;214716
366;50681691;17189;6;0;100;6;120;0;120;0;882110;215000
